n,M(n),M_total,omega,f
12,1.1167595048656491531388901648714397282960192541277e-29,1.6659012470664008618068181089107740841504761319129e-27,133553651394237.98589703458062553699571760026384693,21255723787364.774811911293428362065551544210065184
13,1.0000368241553920708214498036689333697644193219107e-29,1.675901615307954782515032606947463417848120325132e-27,133154587373734.47503826764984560389172916724227296,21192210775891.515587726910664843036388699464839532
14,5.927502014289288490256985854483927660831794690545e-30,1.6818291173222440710052895928019473455089521198226e-27,132919732731905.98143909495244649172661902423536524,21154832498736.434227007004810435164663418134660548
15,1.1036003532398653396785404964207871148394772382495e-30,1.6829327176754839363449681332983681326237915970608e-27,132876143847230.65515989998273288734209061743113222,21147895112276.493484342297059428431858736099150694
16,-2.744502263153139029714236136636348013756192267286e-30,1.6801882154123307973152538971617317846100354047935e-27,132984622788623.42380586040612313730135986728731609,21165160072020.528627545456962362298767316303240004
17,-4.6694513076906787137937996983332386468470689343917e-30,1.6755187641046401186014600974633985459631883358591e-27,133169799224333.71676461114461339699531250970750031,21194631817107.960318644814587156865218375467638736
18,-4.5590491273280378248935127936266032931878920088018e-30,1.6709597149773120807765665846697719426700004438503e-27,133351345821020.44036839679186240598751559548541952,21223525855372.163088122298445401247592348450494844
19,-2.9531769089705596143992988776730341570812966060344e-30,1.6680065380683415211621672857920989085129191472443e-27,133469341749663.19440838531257927051604957978604183,21242305490680.375950201678312252964664358146853147
20,-7.2457966378288441664775586437161995883461032206927e-31,1.6672819584045586367455195299277272885540845369222e-27,133498340643767.33025734557508765151961217076985705,21246920808021.247590417831368597522023489397738458
21,1.2606210629313560719525598411489169474737595732108e-30,1.6685425794674899928174720897688762055015582964955e-27,133447900630718.81858228498278955987631390859643844,21238893030614.957256603448421160104863494800501538
22,2.4047934598875941286831694008755451641987929559183e-30,1.6709473729273775869461552591697517506657570894514e-27,133351838303894.6774910943454183949231579757334538,21223604236455.986030432800033189581692447888780023
23,2.5052956440495741190768018844264541194976068929829e-30,1.6734526685714271610652320610541782047852546963444e-27,133251981607009.81036494095825101845236759809734885,21207711549545.930360718277375421710181686662571063
24,1.7363876966849427491086671836751863338963930888564e-30,1.6751890562681121038143407282378533911191510894332e-27,133182903705290.68675403358350022026434305483910927,21196717460028.915703441671151508366063935868121019
25,5.1997891993073771508831438689102505392468032905505e-31,1.6757090351880428415294290426247444161730757697623e-27,133162238519952.77393486610982869552947887468704475,21193428493632.476718822748859671251836088815659353
26,-6.5534460935658486113394819156720781784882139344187e-31,1.6750536905786862566682950944331772083552269483688e-27,133188285034696.68637003014492562066908093266395323,21197573925204.286315256273075891473765219555345998
27,-1.4028648038185880050801258794634834651004834737566e-30,1.6736508257748676686632149685537137248901264648951e-27,133244092977781.12540144398889489253918161785696783,21206456035209.965943156233901615525287323586511411
28,-1.5443975796722044392224860310445390506049023322806e-30,1.6721064281951954642239924825226691858395215625628e-27,133305612494989.73390381575462995922991547346752205,21216247170470.342905150752343110934324037509592998
29,-1.1325552709139769270375959552751026086936351196816e-30,1.6709738729242814872969548865673940832308279274431e-27,133350780885412.47015033342783053264725901121975291,21223435943077.626002773343950844920770972141552888
30,-3.9552996248174701571562045071867744851811393449694e-31,1.6705783429617997402812392661166754057823098135086e-27,133366566169589.96696335793769302712686417813173298,21225948249082.584903922639793411785561955583503195
31,3.6582059471758599043080530082896840275909548723386e-31,1.6709441635565173262716700714175043741850689089958e-27,133351966367808.43556422813350592149676389894655384,21223624618460.89232195455258313749900219603543811
32,8.884669661274441578284883932659493865278868696622e-31,1.6718326305226447704294985598107703235715967958655e-27,133316527843672.18744656202729590964566663432488209,21217984402168.726993478891944028824426548937921548
33,1.0287356423928735312442061632806978140747355394026e-30,1.6728613661650376439607427659740510213856715314049e-27,133275529659938.40713341394547859962690688827752597,21211459338569.706118705156701341697284656735829313
34,7.9279440954549200605622338059243249892642916751437e-31,1.6736541605745831359667989893546434538845979605724e-27,133243960231543.83267922008241343527426466092792602,21206434907990.123956716325161693532732331291571142
35,3.1343689341980881935026276086949895881180674533482e-31,1.6739675974680029447861492521155129528434097673178e-27,133231485220623.38199725715033411084346596578670464,21204449448337.008855576948271381190034307776707081
