n,M(n),M_total,omega,f
206,2.2297746328291594863129075250641368138737788075159e-32,1.6725860831759005797038805129271302587249451981814e-27,133286496801504.68828836792548425606003836170993699,21213204813361.568355800489845284690865563708355765
207,1.7678473397628313479422502765009936455354238546204e-32,1.67260376164929820801735993542989526866140055242e-27,133285792418294.44386981648446044960962135388863967,21213092707291.827018818251731484699577249294622711
208,3.4518903011663260402575311638605126484075582761207e-33,1.6726072135395993743434001929610591291740489599783e-27,133285654882067.2329278657063273239736016830947479,21213070817721.412187365319393903232248383762660679
209,-9.1830084718476058790719942774890669366571387423341e-33,1.6725980305311275267375211209667816401071123028395e-27,133286020768429.54158083864637607331916729503325271,21213129050344.583521627752057025917191270898734194
210,-1.3983400668347031222430826615400959074347026057878e-32,1.6725840471304591797062986901401662391480379558135e-27,133286577926660.13002432809401271994523857111924443,21213217724831.066006450450138916615847899057368951
211,-1.7250886554314850135598740177538212664444460721515e-32,1.6725667962439048648561630913999887009353735113527e-27,133287265285069.80117781505327443173453052901472859,21213327121319.640954564261688068011997540055612638
212,-1.9731328331629897321911739086071478421631535797419e-32,1.6725470649155732349588411796609026294569518798169e-27,133288051489264.74676039553413596386718902545684632,21213452249603.546128146437341755941934171895612307
213,-3.8598328599571270355910947567024788075704559143237e-33,1.672543205082713277831805588566145926978144309361e-27,133288205287774.28492804412753375948676217214547836,21213476727396.579293540548431800448535442395709017
214,6.7673452976436043461411641353340646736358128421872e-33,1.6725499724280109214361517297302812610428179451739e-27,133287935637169.94859152026869856556194542628268851,21213433811169.991448715439090676122498867121482831
215,1.5834082080629423011030045076899699403185427334262e-32,1.6725658065100915508591627597753581607422211306012e-27,133287304721154.56020823260112207555515252617482098,21213333397767.466545211352123219294903037626827465
216,1.3366318862279046666496198795075880321057647677467e-32,1.6725791728289538299058292559741532366225421882489e-27,133286772141231.45048117181190316590489372326495396,21213248635040.112130607388722883127952037131688146
217,2.0000623326458990867713989000492186590546441553852e-32,1.6725991734522802888966969699631537288091327346904e-27,133285975229892.591094963268496751058941130691615,21213121802661.326678875290496919322399989058169957
218,4.961112477825549882509079358520745503246050571354e-33,1.672604134564758114446579479042512249554635980741e-27,133285777559926.48878497160649640644692466766471878,21213090342509.120688848492805130809605972634273266
219,-4.4862942595214758309899588500439082732475522868662e-33,1.6725996482704985929707484890836622056463627331887e-27,133285956311254.81651590383056601659697656182457964,21213118791666.608289563666074610680124568639143895
220,-1.6888959881802929557589363195874093180214032103466e-32,1.6725827593106167900411908997204663315531825191566e-27,133286629239238.1719759267118402109344731756330289,21213225891481.504171695325250324050084929691834879
221,-1.1601675244833940900649532573826966111662768226114e-32,1.6725711576353719561002902501878925045870708563884e-27,133287091505222.58998404191337911530882904043876269,21213299463397.947538752926315127445650161006124037
222,-1.8356029194512653792732828878488126813685786195604e-32,1.6725528016061774434464975173590140164602571706022e-27,133287822906655.1120001576271566808943468814885831,21213415869551.317910954291276052013584237552538343
223,-6.6642816238946660575447306052300706623802448561547e-33,1.6725461373245535487804399726284087863895947903573e-27,133288088449914.05013405345650972921405977681802062,21213458132073.58264608194964813304843234211268439
224,2.7717355433333329180315749982743381007370655258438e-33,1.6725489090600968821133580042034070607276955274229e-27,133287978007856.62613173953699939450976129309321104,21213440554674.218377156895935324715479991626646494
225,1.6440761899086664267059124089886705069584516722717e-32,1.6725653498219959687776250633274969474327651119396e-27,133287322917968.57698700547074217351931435818375476,21213336293880.365839440325793368214396862855170232
226,1.2049966946094213209943850709320382569260317831824e-32,1.6725773997889420629908350071782062678153343722574e-27,133286842787503.91780219266723554945511485411394949,21213259878743.586321616754859633484898206934577776
227,1.5392676601885402540957320055586014874931151581036e-32,1.672592792465543948393375964498261853830209303409e-27,133286229474450.12731696613841663781432907311719962,21213162266939.412780397574807263117052592915709608
228,8.5310297331789380344412235995564527591252593976279e-33,1.6726013234952771273314104057218614102829684286684e-27,133285889563731.23892275797324500442550122590755489,21213108168468.29177278436905759109887327707665516
229,-1.7210823682646222198387472107807323568686242692483e-33,1.6725996024129088627091905669746506295506115600441e-27,133285958138402.40480162277477088490251199492901698,21213119082466.178723671073478379007626256780102677
230,-1.4473973723811796599325735569246353333742447196337e-32,1.6725851284391850509125912412390813831972778175969e-27,133286534842466.50761539236682899434813444096523805,21213210867768.681871756322525457628002268659586562
231,-1.3989606546021822790930461444775132755069006868976e-32,1.6725711388326390290898003107776366080645227485901e-27,133287092254416.90494048050079912946980114582077857,21213299582635.92610041642030802109527775757426579
232,-1.2176343959053283090531391137978491660516240191107e-32,1.6725589624886799758067097793864986295728622323499e-27,133287577423120.43209668237501523070497776066720648,21213376799633.325933601596877417264126781049821859
233,-9.9645853969391754088820435971943892075486920035061e-33,1.6725489979032830366313008973429014351836546836579e-27,133287974467832.14421530906400412341498746473449699,21213439991261.823413831134846520138714866010581577
234,1.1315430260419895679898057261789653282797205917994e-33,1.6725501294463090786208688871486276141489829633785e-27,133287929380662.31352462919637162567497032362820314,21213432815415.874835635719422216288903823931008112
235,1.155781090728152434447603376572538873659198970709e-32,1.6725616872572163601452133631823933395377195553682e-27,133287468853748.0933580795536689234235091330203457,21213359520281.049838863647661061570983494517867922
236,1.623317192457280169770619482397740074164661342227e-32,1.6725779204291409329469110693772173169384612019816e-27,133286822042732.36237260660953710125795744131781884,21213256577110.649962851897798051347365849361827229
237,9.8153615045265326623608832168689144660373913141361e-33,1.6725877357906454594795734302604341858529272393729e-27,133286430954051.78511884886051597848034195436600711,21213194333413.948805597369660322262913281052277261
238,1.0479078407353537765521443163473781707557790238141e-32,1.6725982148690528130173389517035976596346347971631e-27,133286013423668.26040282919656288529599184964629887,21213127881389.519792185381142396548745873566790897
239,-6.6648185655274028961048975369016903093984063031343e-34,1.6725975483871962602770493412138439694656038573225e-27,133286039978980.65921054823707863726132014558649294,21213132107798.753411930522331733219931981069256502
240,-8.5357023552739322101066213534455807077524507411473e-33,1.6725890126848409863448392345924905238848961048718e-27,133286380077027.83623433743354209264130481426182158,21213186236084.097535886841213162102807859651763705
241,-1.7615110706652230738879874832616690272569226602789e-32,1.6725713975741343341141003547176579071946235356452e-27,133287081944871.0946571647040854012308436906257763,21213297941820.749361487306970373958767219631384875
242,-9.0345439081999824276229213553987098684119152639803e-33,1.6725623630302261341316727317963025084847551237299e-27,133287441927373.00521861494073616514380655556910666,21213355234815.355014998901375748125069961933819679
243,-9.9272786308212564691191682206383266291134255118762e-33,1.6725524357515953128752036126280818701581260103044e-27,133287837484361.92811996145754175209776596132124966,21213418189665.416640836413679844540262210888116438
244,5.5091251316576631003493495839899524066198104523341e-35,1.6725524908428466294518346161215777100576500765025e-27,133287835289215.93032220812389595608345930230349588,21213417840297.080282933177806041972634010484487522
245,6.1606317198862300321884201686628076636276365870122e-33,1.6725586514745665156818668045417463728653137041391e-27,133287589815605.3724106428996550462516519020976381,21213378771958.561376439950881704069022576463937189
246,1.7421481798982080237688095390612095854282390693177e-32,1.6725760729563654977621044926371369849611679865298e-27,133286895654842.15861287698734857813374433976435239,21213268292841.795457823290464662811061043957563417
247,9.9172095202816438308423348578722289905222101076629e-33,1.6725859901658857794059353349719948571901585087399e-27,133286500507436.38349942088286475703189979264823617,21213205403178.916409566833715128068190192470764066
248,8.5838635383379577231843162925734246033024480616906e-33,1.6725945740294241173636585192882874306147618111879e-27,133286158489526.74099955577102652852267637824779561,21213150969337.970848499778763553335950714073917039
249,7.7442531174748412842407169705045885310848567391975e-34,1.6725953484547358648477869433599844810736149196736e-27,133286127633232.99272762362523092535562505682714837,21213146058406.295315474595018828287713775224650614
250,-4.8250299943063727515149779616964306979558172605506e-33,1.6725905234247415584750354283820227846429169638563e-27,133286319882648.14970961062890905517929920570846812,21213176655851.024075103345838352946881096542056856
251,-1.560604248702897453694590532594401514126266613349e-32,1.6725749173822545295004984824766968406277757011902e-27,133286941698477.55753204421181119059710343303516854,21213275620913.96711678094668521727818395289765412
252,-1.1907141381931669153560863544805756945185663945227e-32,1.6725630102408725978313449216131520348708305155263e-27,133287416139089.01461687591037564968962079024511742,21213351130482.484053143574078168513117824705103676
253,-7.0459804911736423996802683671237760071751386553671e-33,1.6725559642603814241889452413447849110948233403876e-27,133287696888900.92672604506317662319952226881091759,21213395813202.821985197633083800347407076431620866
254,-1.6840889666961569613705304836466646019053322407198e-33,1.6725542801714147280319838708143012644302214350554e-27,133287763992338.43067047943584242236327671577276617,21213406493046.599196029281503947552690619816489253
255,4.4752621946756508999676082239210690828227062442114e-33,1.6725587554336094036828838384225251854993042577616e-27,133287585673314.27609551047557318976421383404475873,21213378112692.457672340308741167645630588880439785
256,1.2733463292489534962701152689854071113840134817511e-32,1.6725714888969018932178465395752150395704180978964e-27,133287078306119.19375607777497429823590346218999655,21213297362695.397648048840416681880181874072530929
257,1.4056022042217194818653883426338405394218572375271e-32,1.6725855449189441104126651934586413779758123164688e-27,133286518248054.4784910944754416171961348728344722,21213208226685.979733015286403098343180225851726468
258,5.9928864392405162408555809482674474292746196706148e-33,1.6725915378053833509289060490395896454232415910885e-27,133286279465403.36878894729231685620457216098755052,21213170223246.731036471404984962466773003030321166
259,2.4293670837149426571211143871541884834843820229914e-33,1.6725939671724670658715631701539767996117250754705e-27,133286182669222.11499619733293375707648333893786775,21213154817656.012076300173923076109285735252335729
260,-4.7147451579242250120763364441390220413793974641268e-33,1.672589252427309141646551093817532660589683696073e-27,133286370524650.63727935616604341490253319640191789,21213184715776.048043888227929344911336474955661364
261,-9.7000077982689250400029645955662680022627402621999e-33,1.6725795524195108727215110908529370943216814333328e-27,133286757016568.80560725725055672028589821278989886,21213246227875.289601584322383137626701555128947796
262,-1.5407106239695618138836213872170226517790799450599e-32,1.6725641453132711771033722546390649240951636425333e-27,133287370911857.15344715241989201858950399154853371,21213343932344.970984720660845135690592881720863994
263,-5.9069556569908796882014813396535066712115720855337e-33,1.6725582383576141862236840531577252705884924309612e-27,133287606276425.15884457086164461119343806160588129,21213381391779.39773227649024369077495031599908334
264,-2.8139617990840813044407171988249355434128568298237e-33,1.6725554243958151021423796124405264456529490181044e-27,133287718400086.09310745319196613135380652354231493,21213399236814.272979853743732282419797400789679241
265,5.0241199577907273419637983117159264741295196312199e-33,1.672560448515772892869721576238838161579423147624e-27,133287518211809.00517039422553553932154242226804829,21213367375860.425384656196352066268378524449921313
266,7.3613452198282087890398024479751300062495250079111e-33,1.672567809860992721078510616041286136709429397149e-27,133287224897388.84771457319155707777166636065889868,21213320693420.577192496848446172513471292817220123
267,1.5359270652270192297108702357106956666610230833777e-32,1.6725831691316449912708077247436432436660960073799e-27,133286612910104.95025669812768001144614917320629286,21213223292619.235528993957709613606842486246518785
268,6.8740266664060058217143024217873654307425999721738e-33,1.6725900431583113972766294390460650310315267499798e-27,133286339018520.89570855909929940288951666865897014,21213179701419.76197831691892747105614639808105076
269,2.8135688811369888521307456154036726075955396206365e-33,1.6725928567271925342654815697916804347041343455195e-27,133286226913996.49162099252183279081269800276589994,21213161859430.560101768381957416411785387760228079
270,-4.9906581063044749042615110946055795865036535869203e-33,1.6725878660690862297905773082805858291245478418659e-27,133286425763188.84424626451551479154442617034197592,21213193507262.452853192745087224457366589992711788
271,-6.2187139288773547739856756714516652306157341134914e-33,1.6725816473551573524358033226049143774593172261318e-27,133286673544629.97576660371105265882445571110365247,21213232942903.615368126563172687159417321188625317
272,-1.3872545188091025954453508274996019171954192957613e-32,1.6725677748099692614098488690966393814401452719388e-27,133287226294000.00232293651851654286437926880974139,21213320915698.146025697152063000525868470904820326
273,-8.5464625770700534003308637761683177330935871824137e-33,1.6725592283473921913564485382328632131224121783516e-27,133287566829873.71903179896236037842974091805315369,21213375113665.748157352758454967034571334800204568
274,-2.6061016094280422414240461304412338007203456861998e-33,1.6725566222457827633142071141867327718886114580059e-27,133287670671143.57549687605477327473016605171153946,21213391640517.142753198644715673813558219633548944
275,4.4517612704184612517164310662098772044029725905391e-33,1.6725610740070531817754588306177989817658158609785e-27,133287493288896.02369298774029006910957848362056191,21213363409255.628133360054633454924488360206872626
276,6.2758778088494040968616892845683920434662209676323e-33,1.6725673498848620311795556923070835501578593271995e-27,133287243225182.27490967947471504749472045285758933,21213323610379.497097747369715956231606905262849782
277,1.1446264133309109975915646411247677084890510481016e-32,1.67257879614899534028953160795349479783494421771e-27,133286787149927.32963311761289304494441717218648216,21213251023748.250660599358286246816223990764532523
278,1.0283331922321629172020653645668197583452036983379e-32,1.672589079480917661918703628607140466032527669747e-27,133286377415582.93576754440231263345227859995834758,21213185812501.985859879350176260932597574943162987
279,2.4942453845682856631335925014547482935874954519879e-33,1.6725915737263022302043667621996419207808212572424e-27,133286278034161.65583553526213713620739625258232456,21213169995457.537660624313887908698408772308695528
280,-3.507483945376885560786273072425326564997804938882e-33,1.6725880662423568533188059759265694954542562594375e-27,133286417787411.33169153964782583464826898529558924,21213192237878.036728926971855377003605180646324265
281,-7.1013469102162417130872792510700499815360212306883e-33,1.6725809648954466370770928886473184254042747234162e-27,133286700736968.43345374976775317332316915532339746,21213237270698.695136881278569823452850801500881071
282,-8.8933406734291234957230608048477285320099644197317e-33,1.6725720715547732079535971655865135776757427134518e-27,133287055090147.39682845559614060698963917481548433,21213293667758.727484986033939270366953865583696384
283,-1.1408553965813033190449194075685364090490706008572e-32,1.6725606630008073949204067163924378923116522227458e-27,133287509665578.21926254251740684747397919925899875,21213366015685.551003288106863018279547356540972466
284,-2.7590146197222758099995414551969459330099808220425e-33,1.672557903986187672644596716850982695365719212765e-27,133287619599600.61171431086304610148486064255380471,21213383512228.628737096828340779633463209723800651
285,2.4189259712323826243991728965608799143526322860797e-33,1.6725603229121589050272211160238792562456335653973e-27,133287523216529.44581166865149759459094457322111943,21213368172386.422305763576385540710171400651060647
286,8.0474956332989302273718373101617938513565702827165e-33,1.6725683704077922039574484878611894180394849219676e-27,133287202562357.61371916582217173862976428830172826,21213317138689.952190252931653354698398022841056626
287,7.0113095362793246086018031355407308238826478802155e-33,1.6725753817173284832820570896643249587703088046154e-27,133286923197127.21405652506252295081115101136863819,21213272676332.606077716472593403208392786838055976
288,1.1480398363301883801321652279933912935474535326985e-32,1.6725868621156917851658584113166048926832442791508e-27,133286465765099.2170975899643995399978390483987065,21213199873764.221811443179488892857926090364192318
289,3.5157925524382665211448805390036519130218648506766e-33,1.6725903779082442234323795561971438963351573010156e-27,133286325680648.14012109932761377192231363808492132,21213177578631.382595853532132694908424275802884034
290,-1.4556478444186579889627355840048121845843386019715e-33,1.672588922260399804774390593461559891522972716677e-27,133286383679929.335903627362843381529298177220713,21213186809503.68068145704181590701699444442615979
291,-8.5233066625319521281071980350893609082229126141412e-33,1.6725803989537372728222624862635248021620644937644e-27,133286723286705.62900794585780637695855245068173272,21213240859600.835232504881778604102737630098292441
292,-6.2835743966775423834801085379548369931354406374062e-33,1.6725741153793405952798790061549868473250713583238e-27,133286973654162.46093040047930652006825064462898337,21213280706819.179379685238654571050252611646293199
293,-1.0463244305915730566232497559448635065130213787306e-32,1.67256365213503467954931277365742739869000622811e-27,133287390562656.57268655593773849143337304682764181,21213347059866.834264017841839981601025801397632372
294,-4.642934877880375565875348552049295307328679667157e-33,1.6725590092001567991737468983088753493946988994303e-27,133287575561882.77385381823829037261432493695111501,21213376503408.152355466015490309341621606317232663
295,7.6822181449594666571821133829206888039481919604575e-34,1.6725597774219712951204126165202136414635792942495e-27,133287544951785.5181921464151478227313770082644652,21213371631659.865593251043966133980146806543638652
296,8.2090058783641818538176185510725250229140018478128e-33,1.6725679864278496593022664341387647139886022082514e-27,133287217862067.35937409560529264095726211290826844,21213319573714.386082479743198387245007176040184042
297,6.7229740434298505749528485560228569824693315135136e-33,1.6725747094018930891528413869873207368455846775829e-27,133286949985421.42082891950666607073370404613159831,21213276939822.046085526415131511063738833344620384
298,8.734660437397316866282443062330258988477081974271e-33,1.6725834440623304864697076694303830671045731546648e-27,133286601955619.69253794566541614739735539583937893,21213221549158.757735759498613546729131628469728599
299,5.8191496350837274065101499150900757266639955818811e-33,1.6725892632119655701971141795802981571802998186604e-27,133286370094943.31263900828604546430193946979653574,21213184647386.003244583066707926735515007712367343
300,-3.4006195120234569373318588117155068461019188739154e-34,1.6725889231500143678514204463944169856296152084685e-27,133286383644483.23604126759838160349010007926924773,21213186803862.258675033534408950372382434054342164
301,-7.137123074315351351489984631507960535517752429849e-33,1.6725817860269400525000689564097854776690796907161e-27,133286668019309.429976366153585117958023011946899,21213232063521.538338401227971375493310320001448533
302,-7.9064907886853722996121986897704409619070590773763e-33,1.672573879536151367127769344211095707228117783657e-27,133286983051303.06728684368012815274240074568671442,21213282202420.557810883785252612863377898368887081
303,-6.9290177913703647143134258405326518969406534121506e-33,1.6725669505183599967630550307852551745762208430036e-27,133287259137985.31655603880182229182589895952143374,21213326142980.759623512693115435088384234560414827
304,-6.6557094085281615778478007630350408943795149587511e-33,1.6725602948089514686014771829844921395353264634886e-27,133287524336311.7668235002430200627639148696064436,21213368350605.313881712108037340663663928724283228
305,2.9363726724674006932613999539741529271850465425467e-35,1.6725603241726781932754841155984916792768557353391e-27,133287523166303.60597177088510293251919473655508987,21213368164392.731624301997832809368274558514077729
306,5.6262544708980609554699291342607568705770896258267e-33,1.6725659504271490913364395855276259400337263124287e-27,133287298986756.72952493908177824667376592658643853,21213332485109.706136523706916782890289816341201563
307,9.172432109525128454857768031345308070574731791996e-33,1.6725751228592586164648944432956572853417968871605e-27,133286933511281.08098791090968996404999220300967044,21213274317881.177810233404783866477549849222909203
308,5.6843920447117427913437865353616318726706645042909e-33,1.672580807251303328207685787082192646973669557825e-27,133286707018239.61806481319742172808864589661854504,21213238270394.053068417080453354741205357278011431
309,6.8660126170396018028721086712163719386050133336564e-33,1.6725876732639203678094886591908638633456081628384e-27,133286433445390.23094249441781465521647811205014011,21213194729922.777373310649377289332297196444690355
310,3.3122163023753806881036866463210714532753384252563e-34,1.6725880044855506053475574695595284954527534903722e-27,133286420248072.11029547517150758154393166373467029,21213192629504.362916095198165752188028071057068329
311,-4.1136294587384708702452102459274427023972928169961e-33,1.6725838908560918668766872243492825680100510930794e-27,133286584153335.89323069957202621073610725678708621,21213218715837.292751244459942799571120662513182657
312,-9.8910577429268555698019066581623538860094453965588e-33,1.672573999798348940021117422442624405656165083634e-27,133286978259471.50118532744285691138991484970371372,21213281439776.877602049265581299003760439352114527
313,-5.3959801903098171216931809037024003020492310809187e-33,1.6725686038181586302039957292617207032558630344029e-27,133287193262106.54946472721632744422620975812610903,21213315658509.023318498723558626356210903564835818
314,-6.3974237924514444146434323234312586267851809634538e-33,1.6725622063943661787595810858293972719972362492219e-27,133287448168573.63707877577092275001533922401160769,21213356228133.286403804009940685702094835452304775
315,-8.3333772991078325378076811104563351145696589028753e-34,1.6725613730566362679763273050612862263637247922561e-27,133287481373168.52859311828610739107560171271524849,21213361512808.69675220777325284692870131950822964
316,2.9667808969459178600029058496673500865751515592197e-33,1.6725643398375332138941873079671358937138113674076e-27,133287363160995.91547622658459867511910161658850193,21213342698757.091742280527910431914357901855438194
317,9.6986779044340896846285832900465020934134479733242e-33,1.6725740385154376479838719365504259402159047808556e-27,133286976716794.26480640810235767682510847850945747,21213281194252.169836999988922491276145761888148064
318,6.073014845508848607413011720752217811192771450197e-33,1.672580111530283156832479349562146692433715973627e-27,133286734738990.77963937872289535528784896344160736,21213242682288.626653408582668444229165071909183174
319,5.4661260469501133185725968339249867054745177705403e-33,1.6725855776563301069457979221589806174204214481448e-27,133286516943651.20141451140032629789593011324143825,21213208019083.750401009923323370058552201231071544
320,1.4416679532064259733482795934633046100263276038237e-33,1.6725870193242833133717712704385740807250314744724e-27,133286459501216.4406017486862623209502482434791342,21213198876836.314983944210166903391350616907417068
321,-2.3523393544861235542974884910532989973238708059285e-33,1.6725846669849288272482169729500830274260341506016e-27,133286553228870.42849751470123567505609793972182997,21213213794055.751564351774268763403903682926769106
322,-8.6087955847545817994319823269136267514243663281618e-33,1.6725760581893440726664175409677561137992827262353e-27,133286896243231.0781595047402453117526298957089721,21213268386486.80046416861364358862732139961736646
323,-7.3514055958798123918313028464450629852623079839044e-33,1.6725687067837481928540257096649096687362974639273e-27,133287189159436.628959329430064509360135095982406,21213315005548.825595631377799879587357782700220643
324,-4.4775791155617773467961590007999959950650946622943e-33,1.6725642292046326310766789135059088687403023988326e-27,133287367569187.57000632107630939493837674842536948,21213343400342.58365718566074989978958342683658078
325,-2.0157523699813120377756327313858206420416720243414e-33,1.6725622134522626497646411378731774829196603571606e-27,133287447887349.7150373490703832479185848567566377,21213356183375.109095221133035403878583900667616938
326,2.206343572985374896853200984827387923281241153402e-33,1.6725644197958356351395379910741623103075836384018e-27,133287359975040.47669259487139519473069417071210414,21213342191696.535189357188470816409228750140543156
327,6.9690693896557222630741449343753302577612239361926e-33,1.6725713888652252908618010652190966856378413996257e-27,133287082291877.23129056821955788248040171247094478,21213297997048.491289915100811186102601764937138716
328,8.6506283365444005042729244307434037948664347334032e-33,1.6725800394935618352623053381435274290416362660604e-27,133286737609268.74426798205530406037394921598405319,21213243139107.552771795119517135517029823198177067
329,3.8645795173243210360575771810780694212986902511284e-33,1.6725839040730791595833413957207085071110575647507e-27,133286583626711.46254200741587122685832767581241617,21213218632022.411454183880203171392333170310824223
330,2.3904567463490840550619320319162713434057987180114e-33,1.6725862945298255086673964576527404233824009705494e-27,133286488380227.64533504662736761480937485806660807,21213203473073.699823480005517856610023192498801751
331,-2.3028762362471444644216677511648405405134315837432e-33,1.6725839916535892615229320359849892585418604571178e-27,133286580137108.7894224131785283210256506301729458,21213218076634.896600509017829413299591412053526389
332,-5.2954336408101127891683644619715823970351663871722e-33,1.6725786962199484514101428676205272869594634219514e-27,133286791131569.99730966058431463058383512778583521,21213251657446.362846921887197749894363573984586131
333,-9.4070392623710125663357396066422782852549547066399e-33,1.6725692891806860803975765318809206446811781669967e-27,133287165953803.80834105329787711905360837990792833,21213311312257.654618710995443189330956190515548077
334,-3.9104429631854632319061838897446767488883749629724e-33,1.6725653787377228949343446256970309000044292786218e-27,133287321765816.35087170108702773205073298499437435,21213336110509.643858858529499913369625995613340806
335,-2.472136293826012835878513352312282563659998745086e-33,1.672562906601429068921508747183678587721865618623e-27,133287420268629.78392009019299069844316067426858714,21213351787719.310187258328510965929209464107118173
336,2.377568598244212786320582084310877935758010549317e-33,1.6725652841700273131342950677657628985998013766336e-27,133287325533882.92823978666081294124539530172357948,21213336710216.065546349022341569486002174742863597
337,4.0594076486298493029832866373677056779980531085532e-33,1.6725693435776759429835980510524002663054793746867e-27,133287163786353.86015403334910802793067433859062641,21213310967297.28146047434140608579919640154988954
338,9.288956003701703632393041746181216410465926037218e-33,1.6725786325336796446872304440941464475218898406127e-27,133286793669130.31360046933345726294258824178744931,21213252061311.630578437482390785599488699453676125
339,4.6313991987931278810486384099776003829851695550022e-33,1.6725832639328784378151114927325564251222728257823e-27,133286609132793.60280081050061971719510709104911154,21213222691441.462984281672832353662282009082790875
340,2.3007802701763167309958052805082850741374583188729e-33,1.6725855647131486141318424885378369334073469632406e-27,133286517459365.19907330278868860279011569763291208,21213208101162.182350088711162631527007373639487684
341,-2.2455197581250867175115852894863169218012820283825e-33,1.6725833191933904890451249769525474470904251619586e-27,133286606930964.17924794690596483155071020704752256,21213222341009.426380664955755082049150730141354373
342,-3.5154160769099810239380660641607862135265179201931e-33,1.6725798037773135790641010388864832863042116354406e-27,133286747001301.50518154550325289782086231866967568,21213244633895.992352209942118824521831724135841704
343,-8.3107776611845362774975535073868483799724702865869e-33,1.6725714929996523945278235413329758994558316629704e-27,133287078142645.27650869327722661735404222567710874,21213297336677.715651532153263662984046313384772231
344,-5.767454394324786914095248351920784313119322960612e-33,1.6725657255452580697409094460846239786715185436474e-27,133287307947211.43094157899833971917846411486471305,21213333911210.364217995045517204034832077889244826
345,-2.0456740160259677254627344032508525040242606323915e-33,1.6725636798712420437731839833502207278190145193868e-27,133287389457500.82779642767287018797863973088692538,21213346883975.834578348278328588678844099712931217
346,1.8639426353912042181437538009121154324231639056929e-33,1.6725655438138774349774021271040216399344469425507e-27,133287315188328.50583212999355868497714767414269942,21213335063669.940193952305338736428643559271510476
347,3.6306163119518864585005007547652078263664844324413e-33,1.6725691744301893868638606276047764051422733090351e-27,133287170526041.6767538154203607141861300392285497,21213312039951.91236855298565262108552822130827507
348,6.8073884469813811614245876950025993254092423053e-33,1.6725759818186363682450220521924714077415987182774e-27,133286899286206.28176015925968227269454133540741915,21213268870791.34582327940651854011780117901358323
349,6.8856403241974066477558634670408806856102553736004e-33,1.6725828674589605656516698080559384486222843285328e-27,133286624930115.82201158944123954913961837598596534,21213225205663.381787106929695925925554510374324192
350,1.9345380978973277832247372882536098356451510582606e-33,1.6725848019970584629794530327932267022321199736838e-27,133286547849381.82352578072894433003209437713027438,21213212937883.548776576025678809204690244331128756
351,-1.3206481251257401949802107407809693660291861908057e-33,1.6725834813489333372392580525824859212627539444976e-27,133286600469952.5567674177614022299217972111360663,21213221312707.489288701988687873738766147154398786
352,-4.1331612166015229533781759583807498035208077405365e-33,1.6725793481877167357163046744065275405129504236899e-27,133286765154117.77113732760835110062676308082707742,21213247523006.432118034429487010376920179862422973
353,-5.2869354561337522851509332051815857305260849561516e-33,1.6725740612522606019640195234733223589272198976049e-27,133286975810848.61128143706746353004377029008654411,21213281050066.440905883294768224286518103027029622
354,-7.5530612618890663437127179176240300720667893154132e-33,1.6725665081909987128976758107554047348971478308156e-27,133287276762575.26279103351099210944134818221727497,21213328948021.369534533951556816861572382773838614
355,-2.1482595797365212602286410673550761045651173594825e-33,1.6725643599314189763764155821143373798210432656983e-27,133287362360350.7740559621262256426570220531735789,21213342571330.459822735844890605432466563990321384
356,7.6480459368407804470248405522229985463982073234912e-34,1.672565124736012660454460284598392602120897905519e-27,133287331886560.19966239930426873906619307790055927,21213337721276.055160791877410593634578829416838533
357,4.6466282397342238805192789934636099637976764642745e-33,1.6725697713642523946783408038773860657308617031955e-27,133287146741186.56633766900189912464154011960018171,21213308254474.650821295249556769980769291453890546
358,4.2265244022715109749644292226222745780464478717199e-33,1.6725739978886546661893157683066086880054397496433e-27,133286978335563.01624149587787083867646235767210685,21213281451887.218350589849979589477866186352141818
359,7.5088865204372563638247963817352901691824256636483e-33,1.672581506775175103445679593102990423295608932069e-27,133286679145982.65463807014967852302942634521102401,21213233834386.582211550293723429533311351535796854
360,2.7303537337736883989292748718807536398456063635871e-33,1.6725842371289088771340785223778623040492487776754e-27,133286570356265.96733838672338840211931974066856976,21213216519965.413860952810913039201786741488500524
361,-3.2033985441637609794736337694196816402906801818977e-34,1.6725839167890544607579805750144853620810847486073e-27,133286583120049.61688397670510337834192124395141558,21213218551384.674241645344510637881218759858241618
362,-4.8479137636754045344381944914151594597870857748594e-33,1.6725790688752907853534461368199939469216249615216e-27,133286776283232.34060788492322074468412342715374739,21213249294260.028085304239285194759564702974305163
363,-3.8936328687007823417804112290232125743327340325722e-33,1.6725751752424220845711043564087649237090506287875e-27,133286931424083.03324123986138919846637503328230012,21213273985693.291299596930237968863259271451528716
364,-6.7657988147594870036160381501595286663440401121531e-33,1.6725684094436073250841007403706147641803842847474e-27,133287201006972.91369215326835429908517195695689645,21213316891142.788771449050931488805941426498564131
365,-3.5545373235150357492501289517283819994536780940006e-33,1.6725648549062838100483514902416630357983848310693e-27,133287342637976.82369337976186531935816357616096607,21213339432417.156115700043029976962942362053424108
366,2.5459648466756025315855007284005521053912446675629e-35,1.6725648803659322768043768060966703198039058849818e-27,133287341623532.19993617837295821416785305291849158,21213339270963.279751743480819838823739951465034159
367,4.5836783924096654368587310163473743650759226001784e-33,1.6725694640443246864698136648276866671782709609044e-27,133287158986356.43817536185101801013319731707514443,21213310203353.964924214557129337945608698776520382
