n,M_total,omega,phase,Δω²
321,1.67258466698e-27,3.48831531347e+15,1.12109830096e+18,6.263080427987962e+25
322,1.67257605819e-27,3.48832429068e+15,1.12458662525e+18,5.348353716222019e+25
323,1.67256870678e-27,3.48833195675e+15,1.1280749572e+18,3.257587403764895e+25
324,1.6725642292e-27,3.48833662601e+15,1.13156329383e+18,1.4665324392812682e+25
325,1.67256221345e-27,3.48833872806e+15,1.13505163256e+18,1.6051942200136794e+25
326,1.6725644198e-27,3.48833642726e+15,1.13853996898e+18,5.070220554915915e+25
327,1.67257138887e-27,3.48832915987e+15,1.14202829814e+18,6.293549619369641e+25
328,1.67258003949e-27,3.48832013899e+15,1.14551661828e+18,2.811557728969634e+25
329,1.67258390407e-27,3.48831610903e+15,1.14900493439e+18,1.739097869871188e+25
330,1.67258629453e-27,3.48831361628e+15,1.15249324801e+18,1.6753814740398341e+25
331,1.67258399165e-27,3.4883160177e+15,1.15598156403e+18,3.8525351831539453e+25
332,1.67257869622e-27,3.48832153975e+15,1.15946988557e+18,6.843871674456068e+25
333,1.67256928918e-27,3.48833134943e+15,1.16295821692e+18,2.8449740854407697e+25
334,1.67256537874e-27,3.48833542727e+15,1.16644655234e+18,1.798566197413358e+25
335,1.6725629066e-27,3.48833800524e+15,1.16993489035e+18,1.7297649669609241e+25
336,1.67256528417e-27,3.48833552588e+15,1.17342322587e+18,2.9533507964939353e+25
337,1.67256934358e-27,3.4883312927e+15,1.17691155717e+18,6.757962995472894e+25
338,1.67257863253e-27,3.48832160616e+15,1.18039987877e+18,3.3694382770797835e+25
339,1.67258326393e-27,3.48831677656e+15,1.18388819555e+18,1.673858081862668e+25
340,1.67258556471e-27,3.48831437732e+15,1.18737650993e+18,1.6336550341892463e+25
341,1.67258331919e-27,3.48831671893e+15,1.19086482665e+18,2.557535702506084e+25
342,1.67257980378e-27,3.48832038479e+15,1.19435314703e+18,6.0463001837700295e+25
343,1.672571493e-27,3.48832905127e+15,1.19784147608e+18,4.1960037323469506e+25
344,1.67256572555e-27,3.48833506561e+15,1.20132981115e+18,1.4882988779429564e+25
345,1.67256367987e-27,3.48833719886e+15,1.20481814835e+18,1.356083135674807e+25
346,1.67256554381e-27,3.48833525513e+15,1.2083064836e+18,2.6413910414071004e+25
347,1.67256917443e-27,3.48833146909e+15,1.21179481507e+18,4.952564826694678e+25
348,1.67257598182e-27,3.48832437032e+15,1.21528313944e+18,5.009454236841391e+25
349,1.67258286746e-27,3.48831719e+15,1.21877145663e+18,1.4074114403780638e+25
350,1.672584802e-27,3.48831517268e+15,1.2222597718e+18,9.607950341413663e+24
351,1.67258348135e-27,3.48831654984e+15,1.22574808835e+18,3.006958208904234e+25
352,1.67257934819e-27,3.48832085988e+15,1.22923640921e+18,3.8463739189941116e+25
353,1.67257406125e-27,3.48832637309e+15,1.23272473559e+18,5.495077651999972e+25
354,1.67256650819e-27,3.48833424946e+15,1.23621306984e+18,1.5629320707588087e+25
355,1.67256435993e-27,3.48833648969e+15,1.23970140633e+18,5.564218716052196e+24
356,1.67256512474e-27,3.48833569214e+15,1.24318974202e+18,3.380572290068657e+25
357,1.67256977136e-27,3.4883308466e+15,1.24667807286e+18,3.0749168517420358e+25
358,1.67257399789e-27,3.48832643917e+15,1.2501663993e+18,5.462890427243054e+25
359,1.67258150678e-27,3.48831860891e+15,1.25365471791e+18,1.9863839896947866e+25
360,1.67258423713e-27,3.48831576172e+15,1.25714303367e+18,2.330529679495072e+24
361,1.67258391679e-27,3.48831609577e+15,1.26063134977e+18,3.526954784260487e+25
362,1.67257906888e-27,3.48832115115e+15,1.26411967092e+18,2.832711041546206e+25
363,1.67257517524e-27,3.48832521142e+15,1.26760799613e+18,4.922311835134447e+25
364,1.67256840944e-27,3.48833226682e+15,1.2710963284e+18,2.586043359410385e+25
365,1.67256485491e-27,3.48833597353e+15,1.27458466437e+18,1.85227746338037e+23
366,1.67256488037e-27,3.48833594698e+15,1.27807300032e+18,3.334775340660904e+25
367,1.67256946404e-27,3.48833116708e+15,1.28156133149e+18,3.0996934516454657e+25
368,1.67257372462e-27,3.48832672413e+15,1.28504965821e+18,4.075018896282372e+25
369,1.67257932584e-27,3.48832088319e+15,1.28853797909e+18,3.1778344567105875e+25
370,1.67258369387e-27,3.48831632822e+15,1.29202629542e+18,1.27569756021709e+24
371,1.67258386922e-27,3.48831614537e+15,1.29551461157e+18,2.8405980724611468e+25
372,1.67257996473e-27,3.48832021696e+15,1.29900293178e+18,3.665595591494453e+25
373,1.67257492627e-27,3.48832547105e+15,1.30249125726e+18,3.2330729977334146e+25
374,1.67257048235e-27,3.48833010518e+15,1.30597958736e+18,3.5606941971508407e+25
375,1.67256558814e-27,3.4883352089e+15,1.30946792257e+18,2.824458419312184e+24
376,1.67256519992e-27,3.48833561374e+15,1.31295625818e+18,2.1926186585945667e+25
377,1.67256821369e-27,3.48833247096e+15,1.31644459065e+18,4.225807796629131e+25
378,1.67257402213e-27,3.48832641389e+15,1.31993291707e+18,2.6945654623014995e+25
379,1.67257772587e-27,3.48832255163e+15,1.32342123962e+18,3.601969683221779e+25
380,1.67258267689e-27,3.48831738873e+15,1.32690955701e+18,5.106822044989582e+24
381,1.67258337884e-27,3.48831665674e+15,1.33039787367e+18,1.573878726272572e+25
382,1.67258121549e-27,3.48831891267e+15,1.33388619258e+18,4.504826006951009e+25
383,1.67257502348e-27,3.48832536968e+15,1.33737451795e+18,2.6288394279280947e+25
384,1.67257141009e-27,3.48832913773e+15,1.34086284709e+18,3.2984759847497167e+25
385,1.6725668763e-27,3.4883338656e+15,1.34435118095e+18,8.235207625913882e+24
386,1.67256574436e-27,3.48833504599e+15,1.347839516e+18,1.1244220373297701e+25
387,1.67256728989e-27,3.4883334343e+15,1.35132784943e+18,4.358624046493279e+25
388,1.67257328088e-27,3.48832718687e+15,1.35481617662e+18,3.0153046268517048e+25
389,1.67257742548e-27,3.48832286487e+15,1.35830449948e+18,2.7830636029363598e+25
390,1.67258125089e-27,3.48831887575e+15,1.36179281836e+18,1.1678379302508613e+25
391,1.67258285612e-27,3.48831720183e+15,1.36528113556e+18,8.922190258237002e+24
392,1.67258162973e-27,3.48831848069e+15,1.36876945404e+18,3.8164201908669923e+25
393,1.67257638395e-27,3.48832395098e+15,1.37225777799e+18,3.6588705879912686e+25
394,1.67257135476e-27,3.48832919543e+15,1.37574610719e+18,2.275315892977017e+25
395,1.67256822731e-27,3.48833245675e+15,1.37923443964e+18,1.4509392330883064e+25
396,1.67256623298e-27,3.48833453645e+15,1.38272277418e+18,8.310486573412681e+24
397,1.67256737527e-27,3.48833334527e+15,1.38621110753e+18,3.052996012427369e+25
398,1.67257157165e-27,3.48832896926e+15,1.3896994365e+18,4.272461556206918e+25
399,1.67257744424e-27,3.48832284532e+15,1.39318775934e+18,1.993531845189015e+25
400,1.6725801844e-27,3.48831998788e+15,1.39667607933e+18,1.5880742119561692e+25
401,1.67258236726e-27,3.4883177116e+15,1.40016439704e+18,8.379540862321009e+24
402,1.67258121547e-27,3.48831891269e+15,1.40365271595e+18,2.3066751343382494e+25
403,1.67257804487e-27,3.48832221897e+15,1.40714103817e+18,4.591830146966204e+25
404,1.6725717333e-27,3.48832880068e+15,1.41062936697e+18,2.0664490342268605e+25
405,1.67256889294e-27,3.48833176263e+15,1.41411769874e+18,1.5499774353465574e+25
406,1.67256676248e-27,3.48833398429e+15,1.41760603272e+18,8.093797652901347e+24
407,1.67256787498e-27,3.48833282417e+15,1.42109436554e+18,1.7823443949882945e+25
408,1.67257032483e-27,3.48833026944e+15,1.42458269581e+18,4.475974073305134e+25
409,1.67257647715e-27,3.4883238538e+15,1.42807101967e+18,2.4796472073945817e+25
410,1.67257988549e-27,3.48832029958e+15,1.43155933997e+18,1.3851626727878531e+25
411,1.67258178944e-27,3.48831831415e+15,1.43504765828e+18,6.875585940249888e+24
412,1.67258084437e-27,3.48831929967e+15,1.43853597758e+18,1.5769148134154777e+25
413,1.67257867685e-27,3.48832155995e+15,1.44202429914e+18,3.954687609016064e+25
414,1.67257324104e-27,3.48832722841e+15,1.44551262637e+18,3.0804526534522196e+25
415,1.67256900691e-27,3.48833164378e+15,1.44900095801e+18,1.2059790327806464e+25
416,1.67256734928e-27,3.48833337237e+15,1.45248929139e+18,4.7833884309160455e+24
417,1.67256800676e-27,3.48833268674e+15,1.45597762407e+18,1.6558304263363836e+25
418,1.67257028272e-27,3.48833031336e+15,1.45946595439e+18,3.2076146789527394e+25
419,1.67257469164e-27,3.48832571572e+15,1.4629542801e+18,3.6381577746182015e+25
420,1.67257969238e-27,3.48832050095e+15,1.4664426006e+18,1.1418043831454324e+25
421,1.67258126183e-27,3.48831886434e+15,1.46993091947e+18,2.3536452573923586e+24
422,1.67258093831e-27,3.4883192017e+15,1.47341923867e+18,1.8828241898547471e+25
423,1.67257835032e-27,3.48832190046e+15,1.47690756057e+18,2.4864098137096685e+25
424,1.67257493268e-27,3.48832546436e+15,1.48039588603e+18,3.9361903191560704e+25
425,1.67256952232e-27,3.48833110631e+15,1.48388421714e+18,1.2810583560835339e+25
426,1.67256776149e-27,3.48833294251e+15,1.48737255008e+18,2.305661611857402e+23
427,1.67256779318e-27,3.48833290946e+15,1.49086088299e+18,2.0863817503672124e+25
428,1.67257066094e-27,3.48832991895e+15,1.49434921291e+18,2.014346398918328e+25
429,1.6725734297e-27,3.48832703168e+15,1.49783753994e+18,3.857407461214525e+25
430,1.67257873179e-27,3.48832150265e+15,1.50132586144e+18,1.6272375611227055e+25
431,1.67258096848e-27,3.48831917025e+15,1.50481418061e+18,1.2146568291679616e+24
432,1.67258113544e-27,3.48831899614e+15,1.50830249961e+18,2.130931345537389e+25
433,1.67257820641e-27,3.48832205052e+15,1.51179082166e+18,1.9031746953419004e+25
434,1.67257559045e-27,3.48832477844e+15,1.51527914644e+18,3.429505226993618e+25
435,1.67257087653e-27,3.48832969413e+15,1.51876747613e+18,2.090890744975179e+25
436,1.67256800257e-27,3.48833269111e+15,1.52225580882e+18,2.078833337962519e+24
437,1.67256771684e-27,3.48833298908e+15,1.52574414181e+18,1.9648696710025694e+25
438,1.67257041757e-27,3.48833017273e+15,1.52923247199e+18,2.1191803771613267e+25
439,1.67257333042e-27,3.4883271352e+15,1.53272079912e+18,2.8117453641640203e+25
440,1.67257719523e-27,3.48832310498e+15,1.53620912223e+18,2.521775762547702e+25
441,1.67258066148e-27,3.48831949038e+15,1.53969744172e+18,2.8498071927336923e+24
442,1.67258105319e-27,3.48831908191e+15,1.5431857608e+18,1.6276308563438897e+25
443,1.67257881597e-27,3.48832141488e+15,1.54667408221e+18,2.5074725864457873e+25
444,1.67257536938e-27,3.48832500897e+15,1.55016240722e+18,2.2303928087943715e+25
445,1.67257230366e-27,3.48832820591e+15,1.55365073543e+18,2.769908802016882e+25
446,1.67256849638e-27,3.48833217616e+15,1.55713906761e+18,4.110459262624575e+24
447,1.6725679314e-27,3.48833276533e+15,1.56062740037e+18,1.2195703438283834e+25
448,1.67256960771e-27,3.48833101726e+15,1.56411573139e+18,2.8613957200099204e+25
449,1.67257354075e-27,3.48832691588e+15,1.5676040583e+18,1.8890093280567523e+25
450,1.67257613723e-27,3.48832420826e+15,1.57109238251e+18,2.7486734493957508e+25
451,1.67257991536e-27,3.48832026844e+15,1.57458070278e+18,6.183453800710825e+24
452,1.67258076529e-27,3.48831938213e+15,1.57806902216e+18,8.507987938192275e+24
453,1.67257959584e-27,3.48832060163e+15,1.58155734276e+18,3.005742129126071e+25
454,1.67257546437e-27,3.48832490992e+15,1.58504566767e+18,1.8903657337831857e+25
455,1.67257286602e-27,3.48832761948e+15,1.58853399529e+18,2.474289598016163e+25
456,1.67256946507e-27,3.488331166e+15,1.59202232646e+18,8.906611355263878e+24
457,1.67256824085e-27,3.48833244263e+15,1.5955106589e+18,5.944634200060546e+24
458,1.67256905795e-27,3.48833159056e+15,1.59899899049e+18,2.8609950556597605e+25
459,1.67257299043e-27,3.48832748975e+15,1.60248731798e+18,2.200208526603029e+25
460,1.67257601466e-27,3.48832433608e+15,1.60597564232e+18,2.0626781113403133e+25
461,1.67257884987e-27,3.48832137953e+15,1.6094639637e+18,1.165689871695727e+25
462,1.67258045214e-27,3.48831970868e+15,1.61295228341e+18,4.628004991027859e+24
463,1.67257981601e-27,3.48832037204e+15,1.61644060378e+18,2.4641551849622443e+25
464,1.67257642896e-27,3.48832390404e+15,1.61992892768e+18,2.6659163998817404e+25
465,1.6725727646e-27,3.48832772524e+15,1.62341725541e+18,1.6854063578800984e+25
466,1.67257044798e-27,3.48833014102e+15,1.62690558555e+18,1.3625383705992065e+25
467,1.67256857516e-27,3.48833209402e+15,1.63039391764e+18,4.139250135402636e+24
468,1.6725691441e-27,3.48833150072e+15,1.63388224914e+18,1.9430133255356177e+25
469,1.6725718148e-27,3.4883287157e+15,1.63737057786e+18,3.080500847599677e+25
470,1.67257604901e-27,3.48832430026e+15,1.64085890216e+18,1.5011548128559996e+25
471,1.67257811239e-27,3.48832214857e+15,1.64434722431e+18,1.421073987097619e+25
472,1.67258006569e-27,3.48832011167e+15,1.64783554442e+18,3.814847847704874e+24
473,1.67257954133e-27,3.48832065847e+15,1.65132386508e+18,1.457205118952483e+25
474,1.67257753836e-27,3.48832274716e+15,1.65481218783e+18,3.2649138834677748e+25
475,1.67257305067e-27,3.48832742693e+15,1.65830051525e+18,1.5918023716645668e+25
476,1.67257086271e-27,3.48832970855e+15,1.66178884496e+18,1.3349711175404995e+25
477,1.67256902777e-27,3.48833162203e+15,1.66527717658e+18,3.1098710382714837e+24
478,1.67256945523e-27,3.48833117627e+15,1.66876550776e+18,1.1336938504360093e+25
479,1.6725710135e-27,3.48832955129e+15,1.67225383731e+18,3.1355742549165065e+25
480,1.67257532341e-27,3.48832505691e+15,1.67574216237e+18,1.9286966678455012e+25
481,1.67257797445e-27,3.48832229241e+15,1.67923048466e+18,1.161116602426207e+25
482,1.67257957044e-27,3.48832062812e+15,1.68271880529e+18,1.846176770443592e+24
483,1.67257931668e-27,3.48832089274e+15,1.68620712618e+18,1.0217371160635537e+25
484,1.67257791227e-27,3.48832235725e+15,1.68969544854e+18,2.731214229230143e+25
485,1.67257415815e-27,3.48832627205e+15,1.69318377481e+18,2.3837271477515243e+25
486,1.67257088168e-27,3.48832968876e+15,1.6966721045e+18,1.0002506625610746e+25
487,1.67256950682e-27,3.48833112247e+15,1.70016043562e+18,2.427897751462767e+23
488,1.67256954019e-27,3.48833108767e+15,1.70364876671e+18,1.0840324593942222e+25
489,1.67257103021e-27,3.48832953388e+15,1.70713709624e+18,2.190997634151606e+25
490,1.67257404177e-27,3.48832639341e+15,1.71062542264e+18,2.7801029247253624e+25
491,1.67257786309e-27,3.48832240854e+15,1.71411374504e+18,9.552805207725352e+24
492,1.67257917615e-27,3.48832103928e+15,1.71760206608e+18,1.2655195851878832e+24
493,1.6725793501e-27,3.48832085789e+15,1.72109038694e+18,1.2227950802838795e+25
494,1.67257766933e-27,3.48832261059e+15,1.72457870955e+18,1.694839923877193e+25
495,1.67257533973e-27,3.48832503989e+15,1.72806703459e+18,2.962682660311136e+25
496,1.67257126747e-27,3.48832928646e+15,1.73155536388e+18,1.0858626819225016e+25
497,1.67256977494e-27,3.48833084288e+15,1.73504369472e+18,2.3094039734334795e+24
498,1.67256945751e-27,3.4883311739e+15,1.7385320259e+18,1.3268496692247118e+25
499,1.67257128128e-27,3.48832927206e+15,1.74202035517e+18,1.3920730505882136e+25
500,1.67257319471e-27,3.48832727673e+15,1.74550868244e+18,2.8587653932486096e+25
501,1.67257712414e-27,3.48832317911e+15,1.74899700562e+18,1.378874145929507e+25
502,1.67257901944e-27,3.48832120269e+15,1.75248532683e+18,2.814098868322437e+24
503,1.67257940625e-27,3.48832079933e+15,1.75597364763e+18,1.3174734910681127e+25
504,1.67257759535e-27,3.48832268774e+15,1.75946197031e+18,1.3465890323949592e+25
505,1.67257574443e-27,3.48832461788e+15,1.76295029493e+18,2.5056110454554083e+25
506,1.67257230041e-27,3.4883282093e+15,1.76643862314e+18,1.7493219985496302e+25
507,1.67256989594e-27,3.48833071669e+15,1.76992695386e+18,3.0579455229545775e+24
508,1.67256947562e-27,3.488331155e+15,1.77341528501e+18,1.174960752030309e+25
509,1.67257109062e-27,3.48832947087e+15,1.77690361448e+18,1.5192843282600964e+25
510,1.67257317891e-27,3.4883272932e+15,1.78039194178e+18,2.0337748683184678e+25
511,1.67257597437e-27,3.48832437809e+15,1.78388026615e+18,2.0720475222737024e+25
512,1.67257882246e-27,3.48832140811e+15,1.78736858756e+18,3.5304889812634906e+24
513,1.67257930773e-27,3.48832090207e+15,1.79085690846e+18,9.367196569951601e+24
514,1.67257802018e-27,3.48832224472e+15,1.79434523071e+18,1.7915041743302574e+25
515,1.67257555772e-27,3.48832481258e+15,1.79783355552e+18,1.6141846183425972e+25
516,1.67257333899e-27,3.48832712627e+15,1.80132188265e+18,2.23240004948635e+25
517,1.67257027052e-27,3.48833032608e+15,1.80481021297e+18,4.664790222818107e+24
518,1.67256962933e-27,3.48833099471e+15,1.80829854397e+18,6.72094880959342e+24
519,1.67257055314e-27,3.48833003137e+15,1.811786874e+18,2.017595635214293e+25
520,1.67257332636e-27,3.48832713944e+15,1.81527520114e+18,1.390665681650378e+25
521,1.67257523786e-27,3.48832514613e+15,1.81876352629e+18,2.174113171462423e+25
522,1.67257822623e-27,3.48832202986e+15,1.82225184832e+18,6.579189892385458e+24
523,1.67257913056e-27,3.48832108683e+15,1.8257401694e+18,4.472039304688409e+24
524,1.67257851586e-27,3.48832172783e+15,1.82922849113e+18,2.0831277010877454e+25
525,1.67257565255e-27,3.48832471369e+15,1.83271681584e+18,1.4252013672266383e+25
526,1.67257369358e-27,3.4883267565e+15,1.8362051426e+18,1.9247891652609052e+25
527,1.67257104792e-27,3.4883295154e+15,1.83969347212e+18,8.965450460114569e+24
528,1.67256981561e-27,3.48833080046e+15,1.84318180292e+18,2.9699919900942407e+24
529,1.67257022384e-27,3.48833037476e+15,1.84667013329e+18,1.9459315824978645e+25
530,1.67257289855e-27,3.48832758556e+15,1.85015846088e+18,1.6771115950701797e+25
531,1.67257520378e-27,3.48832518166e+15,1.85364678606e+18,1.5869590470048289e+25
532,1.67257738509e-27,3.48832290699e+15,1.85713510897e+18,1.1186191953661563e+25
533,1.67257892266e-27,3.48832130362e+15,1.86062343027e+18,2.156074063232236e+24
534,1.6725786263e-27,3.48832161266e+15,1.86411175188e+18,1.6447251978017172e+25
535,1.67257636559e-27,3.48832397013e+15,1.86760007585e+18,2.023113832244615e+25
536,1.67257358477e-27,3.48832686996e+15,1.87108840272e+18,1.298484470824069e+25
537,1.67257179998e-27,3.48832873115e+15,1.87457673145e+18,1.2550190148412915e+25
538,1.67257007494e-27,3.48833053003e+15,1.87806506198e+18,1.6726821450106025e+24
539,1.67257030485e-27,3.48833029028e+15,1.88155339227e+18,1.2756087590229836e+25
540,1.6725720582e-27,3.48832846188e+15,1.88504172074e+18,2.3087429738761692e+25
541,1.67257523161e-27,3.48832515264e+15,1.88853004589e+18,1.1776196402023068e+25
542,1.67257685028e-27,3.4883234647e+15,1.89201836935e+18,1.2638689351302749e+25
543,1.6725785875e-27,3.48832165313e+15,1.89550669101e+18,1.0992613173746158e+24
544,1.6725784364e-27,3.48832181069e+15,1.89899501282e+18,9.482413890851255e+24
545,1.67257713302e-27,3.48832316985e+15,1.90248333599e+18,2.409421886316329e+25
546,1.67257382121e-27,3.48832662341e+15,1.90597166261e+18,1.275653466089624e+25
547,1.6725720678e-27,3.48832845187e+15,1.90945999106e+18,1.1535025522821578e+25
548,1.6725704823e-27,3.48833010524e+15,1.91294832117e+18,1.8788324387839045e+23
549,1.67257050812e-27,3.48833007831e+15,1.91643665125e+18,7.419100347794087e+24
550,1.67257152789e-27,3.48832901489e+15,1.91992498026e+18,2.276851790225023e+25
551,1.67257465746e-27,3.48832575136e+15,1.92341330601e+18,1.5561310342003813e+25
552,1.6725767964e-27,3.48832352088e+15,1.92690162953e+18,9.837611810038503e+24
553,1.67257814861e-27,3.4883221108e+15,1.93038995164e+18,1.019475373131783e+24
554,1.67257828874e-27,3.48832196467e+15,1.93387827361e+18,6.785517996977868e+24
555,1.67257735605e-27,3.48832293728e+15,1.93736659654e+18,1.953069167162743e+25
556,1.67257467151e-27,3.48832573672e+15,1.94085492228e+18,1.9094388596720126e+25
557,1.67257204695e-27,3.48832847361e+15,1.94434325076e+18,8.442025290878962e+24
558,1.67257088658e-27,3.48832968365e+15,1.94783158044e+18,2.241278306999397e+24
559,1.67257057851e-27,3.48833000491e+15,1.95131991044e+18,7.222110855954534e+24
560,1.6725715712e-27,3.48832896972e+15,1.95480823941e+18,1.5487528278192856e+25
561,1.67257369999e-27,3.48832674982e+15,1.95829656616e+18,2.1964403838786067e+25
562,1.67257671905e-27,3.48832360154e+15,1.96178488976e+18,8.171818095025122e+24
563,1.67257784228e-27,3.48832243023e+15,1.9652732122e+18,3.138452519950063e+24
564,1.67257827367e-27,3.48832198038e+15,1.96876153418e+18,8.016844073082693e+24
565,1.67257717174e-27,3.48832312948e+15,1.9722498573e+18,1.1961049842312125e+25
566,1.67257552766e-27,3.48832484392e+15,1.97573818215e+18,2.3036212243133995e+25
567,1.67257236129e-27,3.48832814582e+15,1.97922651029e+18,9.419084501237554e+24
568,1.67257106662e-27,3.48832949591e+15,1.98271483979e+18,3.5275223678755754e+24
569,1.67257058176e-27,3.48833000152e+15,1.98620316979e+18,8.445870058637344e+24
570,1.67257174265e-27,3.48832879093e+15,1.98969149858e+18,9.968029130931116e+24
571,1.67257311278e-27,3.48832736216e+15,1.99317982595e+18,2.1872167979623226e+25
572,1.67257611915e-27,3.48832422711e+15,1.99666815017e+18,1.1949319537948385e+25
573,1.67257776162e-27,3.48832251435e+15,2.00015647269e+18,3.510199664770812e+24
574,1.6725782441e-27,3.48832201122e+15,2.0036447947e+18,8.069191581775591e+24
575,1.67257713497e-27,3.48832316782e+15,2.00713311787e+18,9.85428625744829e+24
576,1.67257578048e-27,3.48832458028e+15,2.01062144245e+18,1.889084796114719e+25
577,1.67257318389e-27,3.48832728801e+15,2.01410976973e+18,1.4966445398475154e+25
578,1.67257112673e-27,3.48832943323e+15,2.01759809917e+18,3.4501673988920944e+24
579,1.67257065249e-27,3.48832992776e+15,2.0210864291e+18,6.865507827742567e+24
580,1.67257159617e-27,3.48832894369e+15,2.02457475804e+18,1.1219606826450648e+25
581,1.67257313832e-27,3.48832733552e+15,2.02806308537e+18,1.5183992027690259e+25
582,1.67257522539e-27,3.48832515912e+15,2.03155141053e+18,1.741666144582203e+25
583,1.67257761936e-27,3.4883226627e+15,2.0350397332e+18,3.802237735534309e+24
584,1.67257814198e-27,3.48832211771e+15,2.03852805531e+18,5.166045867538166e+24
585,1.6725774319e-27,3.48832285818e+15,2.04201637817e+18,1.313748258142184e+25
586,1.67257562612e-27,3.48832474125e+15,2.04550470291e+18,1.2073910731283246e+25
587,1.67257396653e-27,3.48832647186e+15,2.04899302939e+18,1.841404016963539e+25
588,1.67257143549e-27,3.48832911124e+15,2.0524813585e+18,4.876834916483142e+24
589,1.67257076516e-27,3.48832981027e+15,2.05596968831e+18,3.4459034154638573e+24
590,1.67257123881e-27,3.48832931635e+15,2.05945801762e+18,1.4562049455400588e+25
591,1.67257324039e-27,3.48832722909e+15,2.06294634485e+18,1.0593949751988844e+25
592,1.67257469655e-27,3.48832571061e+15,2.06643467056e+18,1.7607775215861282e+25
593,1.67257711678e-27,3.48832318679e+15,2.06992299375e+18,6.654476824974753e+24
594,1.67257803145e-27,3.48832223297e+15,2.07341131598e+18,2.0818945585940276e+24
595,1.67257774529e-27,3.48832253138e+15,2.07689963851e+18,1.474235452238538e+25
596,1.67257571892e-27,3.48832464448e+15,2.08038796316e+18,1.1100042020825155e+25
597,1.67257419319e-27,3.48832623551e+15,2.08387628939e+18,1.534062365483329e+25
598,1.67257208459e-27,3.48832843436e+15,2.08736461783e+18,8.748725672427964e+24
599,1.67257088207e-27,3.48832968836e+15,2.09085294752e+18,1.1944636382634132e+24
600,1.67257104625e-27,3.48832951715e+15,2.09434127703e+18,1.3482454218359703e+25
601,1.67257289943e-27,3.48832758464e+15,2.09782960462e+18,1.316247767886381e+25
602,1.67257470864e-27,3.48832569799e+15,2.10131793032e+18,1.2524536209350707e+25
603,1.67257643017e-27,3.48832390278e+15,2.10480625422e+18,1.0544470486551742e+25
604,1.67257787953e-27,3.48832239139e+15,2.10829457661e+18,6.35927113651993e+23
605,1.67257779212e-27,3.48832248254e+15,2.11178289909e+18,1.1154617155992547e+25
606,1.67257625889e-27,3.48832408139e+15,2.11527122317e+18,1.5768596221797944e+25
607,1.67257409146e-27,3.48832634159e+15,2.11875954952e+18,1.0284585972098776e+25
608,1.67257267783e-27,3.48832781573e+15,2.12224787733e+18,1.1460656252506378e+25
609,1.67257110254e-27,3.48832945844e+15,2.12573620679e+18,1.1563756013725857e+23
610,1.67257111844e-27,3.48832944187e+15,2.12922453623e+18,8.488858259007014e+24
611,1.67257228524e-27,3.48832822512e+15,2.13271286446e+18,1.7743496284152154e+25
612,1.67257472412e-27,3.48832568185e+15,2.13620119014e+18,9.51177554452269e+24
613,1.67257603154e-27,3.48832431848e+15,2.13968951446e+18,1.1219439894452113e+25
614,1.67257757368e-27,3.48832271034e+15,2.14317783717e+18,6.143741733138299e+23
615,1.67257765812e-27,3.48832262227e+15,2.14666615979e+18,6.242556281047938e+24
616,1.67257680007e-27,3.48832351705e+15,2.15015448331e+18,1.8211478758622514e+25
617,1.67257429686e-27,3.4883261274e+15,2.15364280943e+18,1.0509047379791182e+25
618,1.67257285237e-27,3.48832763372e+15,2.15713113707e+18,1.0001380998206972e+25
619,1.67257147766e-27,3.48832906727e+15,2.16061946614e+18,1.6124021378205127e+24
620,1.67257125604e-27,3.48832929838e+15,2.16410779543e+18,4.900676439932195e+24
621,1.67257192964e-27,3.48832859594e+15,2.16759612403e+18,1.6915961286226329e+25
622,1.67257425477e-27,3.48832617129e+15,2.1710844502e+18,1.2872213259651558e+25
623,1.67257602409e-27,3.48832432625e+15,2.17457277453e+18,8.405035538419355e+24
624,1.67257717938e-27,3.48832312151e+15,2.17806109765e+18,2.7134840100867145e+24
625,1.67257755235e-27,3.48832273257e+15,2.18154942038e+18,4.5222629136013043e+24
626,1.67257693076e-27,3.48832338077e+15,2.18503774376e+18,1.4278128582300936e+25
627,1.6725749682e-27,3.48832542733e+15,2.18852606919e+18,1.565443778830725e+25
628,1.67257281646e-27,3.48832767116e+15,2.19201439686e+18,7.221132691319661e+24
629,1.6725718239e-27,3.4883287062e+15,2.19550272557e+18,3.6237912794180337e+24
630,1.67257132581e-27,3.48832922562e+15,2.19899105479e+18,4.7820479779711774e+24
631,1.67257198311e-27,3.48832854019e+15,2.20247938333e+18,1.1189444800976858e+25
632,1.67257352112e-27,3.48832693634e+15,2.20596771027e+18,1.7744360908592029e+25
633,1.67257596012e-27,3.48832439295e+15,2.20945603466e+18,7.107567592917816e+24
634,1.67257693707e-27,3.48832337419e+15,2.21294435804e+18,4.091515892473067e+24
635,1.67257749946e-27,3.48832278773e+15,2.21643268082e+18,5.164026064915426e+24
636,1.67257678965e-27,3.48832352792e+15,2.21992100435e+18,8.634311098859146e+24
637,1.67257560285e-27,3.48832476552e+15,2.22340932912e+18,1.8304731920309281e+25
638,1.67257308682e-27,3.48832738923e+15,2.22689765651e+18,8.304880128648176e+24
639,1.6725719453e-27,3.48832857961e+15,2.23038598509e+18,4.0652932437027086e+24
640,1.67257138652e-27,3.48832916231e+15,2.23387431425e+18,5.208080536667431e+24
641,1.67257210238e-27,3.48832841581e+15,2.23736264266e+18,7.30594572563558e+24
